,BindingScore_action,BindingScore_tone,TTB,vn0,vn1,vn2,group,channel
0,0.0171561321070617,-0.0033957330714163986,0.0205518651784781,6.44,6.36,7.36,2,TP
1,0.0650237224320869,0.1049053514330046,-0.0398816290009177,6.86,5.82,7.19,2,TP
2,0.0882658207607171,0.0514660133438379,0.036799807416879195,6.45,6.41,7.68,2,TP
3,0.0411253409782937,0.0998937374336574,-0.0587683964553637,6.48,6.23,7.49,2,TP
4,-0.0486312410807684,0.0515947296780668,-0.1002259707588352,7.05,5.0,5.31,2,TP
5,0.0308052132184787,0.0718128771646638,-0.041007663946185095,6.87,5.67,7.36,2,TP
6,0.0588592551123931,0.008721819176537401,0.0501374359358557,6.72,5.96,5.58,2,TP
7,0.1230644846028372,-0.0674255153971628,0.19049,6.96,5.34,1.63,2,TP
8,-0.0155432415223228,0.04728070509888469,-0.0628239466212075,6.04,6.53,8.13,2,TP
9,-0.0893487226555267,-0.0733350896069111,-0.016013633048615597,7.11,4.77,7.01,2,TP
10,0.0260768118185177,0.0782354576092787,-0.052158645790761,6.42,6.34,8.82,2,TP
11,0.0141771303958893,0.0318256682247474,-0.017648537828858103,6.65,6.21,7.52,2,TP
12,0.0244850193273875,0.0426050820655634,-0.018120062738175898,6.32,6.42,7.85,2,TP
13,0.3856254528117263,0.2912474346974381,0.0943780181142882,6.83,5.77,3.55,2,TP
14,0.0026169005802485,0.016284148353757,-0.0136672477735085,6.74,6.02,6.65,2,TP
15,0.0468973748347493,0.044734667679888,0.002162707154861304,7.2,4.13,4.85,2,TP
16,0.068548435955879,0.0667757542221666,0.0017726817337124084,6.98,5.31,4.05,2,TP
17,0.0168266811621898,-0.034046495455272,0.050873176617461796,6.94,5.63,7.45,2,TP
18,0.0048880146110148,-0.0068532262508808,0.0117412408618956,7.25,4.15,7.14,2,TP
19,0.0300159017848435,-0.024226403268256196,0.054242305053099696,6.7,6.07,6.36,2,TP
20,0.0033865549852994,0.0575772624015673,-0.0541907074162679,6.44,6.45,6.51,2,TP
21,-0.0427103835695766,-0.010891150310719001,-0.0318192332588576,6.4,6.45,7.97,2,TP
22,-0.064713603132482,0.008350612006057703,-0.07306421513853971,7.0,5.01,3.7,2,TP
