,BindingScore_action,BindingScore_tone,TTB,vn0,vn1,vn2,group,channel
0,0.0171561321070617,-0.0033957330714163986,0.0205518651784781,6.46,6.45,7.5,2,AF
1,0.0300159017848435,-0.024226403268256196,0.054242305053099696,6.58,6.27,4.24,2,AF
2,0.0168266811621898,-0.034046495455272,0.050873176617461796,6.88,5.94,8.2,2,AF
3,0.0411253409782937,0.0998937374336574,-0.0587683964553637,6.34,6.47,6.95,2,AF
4,0.0308052132184787,0.0718128771646638,-0.041007663946185095,7.16,4.34,5.87,2,AF
5,0.3856254528117263,0.2912474346974381,0.0943780181142882,6.81,6.11,3.04,2,AF
6,0.0141771303958893,0.0318256682247474,-0.017648537828858103,7.11,4.61,7.28,2,AF
7,0.0279513875541415,0.0696634771385187,-0.04171208958437719,6.5,6.34,7.22,2,AF
8,0.0468973748347493,0.044734667679888,0.002162707154861304,6.41,6.38,6.8,2,AF
9,0.1230644846028372,-0.0674255153971628,0.19049,6.96,5.35,2.91,2,AF
10,-0.0893487226555267,-0.0733350896069111,-0.016013633048615597,6.88,5.51,7.91,2,AF
11,0.0260768118185177,0.0782354576092787,-0.052158645790761,6.76,5.98,5.46,2,AF
12,0.0588592551123931,0.008721819176537401,0.0501374359358557,6.47,6.07,5.23,2,AF
13,0.0244850193273875,0.0426050820655634,-0.018120062738175898,6.41,6.43,7.98,2,AF
14,-0.0486312410807684,0.0515947296780668,-0.1002259707588352,6.41,6.46,6.62,2,AF
15,0.0026169005802485,0.016284148353757,-0.0136672477735085,6.74,6.03,7.04,2,AF
16,-0.0155432415223228,0.04728070509888469,-0.0628239466212075,7.14,4.33,4.93,2,AF
17,-0.031125262363032,0.07827017640490799,-0.10939543876794,6.33,6.51,7.13,2,AF
18,0.068548435955879,0.0667757542221666,0.0017726817337124084,6.38,6.4,7.8,2,AF
19,0.0882658207607171,0.0514660133438379,0.036799807416879195,6.45,6.31,5.35,2,AF
20,0.0048880146110148,-0.0068532262508808,0.0117412408618956,7.24,4.45,6.78,2,AF
21,0.0650237224320869,0.1049053514330046,-0.0398816290009177,6.96,5.39,7.11,2,AF
22,0.0033865549852994,0.0575772624015673,-0.0541907074162679,6.68,6.07,6.78,2,AF
23,-0.0427103835695766,-0.010891150310719001,-0.0318192332588576,6.9,5.71,6.51,2,AF
