,BindingScore_action,BindingScore_tone,TTB,vn0,vn1,vn2,group,channel
0,0.0108332982706492,0.119495808649242,0.1086625103785928,6.93,5.53,4.64,3,TP
1,-0.005067291987226,-0.1221272192343153,0.1170599272470893,7.11,4.54,7.84,3,TP
2,0.0332884748728372,0.1532809058535502,0.11999243098071301,6.49,6.34,6.77,3,TP
3,-0.0007986652927835,0.0231269607095566,0.0239256260023401,6.93,5.31,8.08,3,TP
4,0.0367694967425347,0.012681074074870298,0.0240884226676644,6.8,5.83,6.03,3,TP
5,0.0264662223103852,2.760242609400887e-05,0.026438619884291192,6.9,5.57,4.44,3,TP
6,-0.0097237413161189,-0.0372098658706117,0.027486124554492803,6.42,6.5,6.79,3,TP
7,-0.0500354819667823,-0.0216133446270034,0.0284221373397789,6.93,5.27,4.19,3,TP
8,-0.0151479929118804,0.014229054606224503,0.029377047518104903,7.11,4.26,7.8,3,TP
9,0.1557453466823828,0.120809265608606,0.0349360810737768,6.39,6.47,7.58,3,TP
10,0.0413572117121803,0.005532349296796302,0.035824862415384,6.37,6.47,8.27,3,TP
11,-0.0612109029135429,-0.019913752622096402,0.0412971502914465,7.15,4.11,7.69,3,TP
12,-0.0113064405854277,0.0334161330014121,0.0447225735868398,6.95,5.47,5.01,3,TP
13,0.1127497854365443,-0.07260450527119548,0.1853542907077398,6.92,5.54,3.17,3,TP
14,-0.0138055880585617,0.0413355240325554,0.0551411120911171,6.83,5.72,5.23,3,TP
15,-0.0264833032078379,0.0330203767634441,0.059503679971281996,6.67,6.12,7.71,3,TP
16,-0.0236285920743889,0.0372620369878403,0.0608906290622292,6.37,6.54,7.86,3,TP
17,0.0394172328236809,-0.027438512466671602,0.0668557452903525,6.44,6.31,7.31,3,TP
18,0.1225081223858405,-0.0917067660712822,0.2142148884571227,6.32,6.43,2.25,3,TP
19,0.1304941161470683,0.03864224413437389,0.0918518720126944,7.09,5.09,6.03,3,TP
20,-0.1192593991995604,0.014979642647599808,0.1342390418471602,6.9,5.41,4.26,3,TP
21,-0.0552788764982137,0.08068605700359491,0.1359649335018086,6.98,5.42,4.2,3,TP
22,-0.0871735017171592,0.06177208610044689,0.14894558781760608,7.16,3.82,6.02,3,TP
23,-0.0190933694095467,0.1521498337388767,0.1712432031484234,7.2,3.01,4.04,3,TP
24,0.0612523694194154,0.009860176267849602,0.0513921931515658,7.15,4.09,7.09,3,TP
25,-0.0543716260644399,0.019682597378479404,0.0740542234429193,7.19,3.87,7.44,3,TP
